rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
bayesian_species_child,0.05,31,273838,22992,13706,7592,0.3302018093249826,0.5539179921202393,0.08396205055543789,6.597242307159973,0.18497913769123783,0.5840185987325288,0.635322381963661,6.543167236455491,3.5636519776090383,3.3242894056847545,1.689733284903575
compact_lightgbm,0.05,31,273838,22992,13706,7496,0.32602644398051495,0.5469137603969064,0.08396205055543789,6.513820908123176,0.18479851164134892,0.5795851581670273,0.6436070938397134,6.461644900588424,3.63778153537643,3.2564467647524125,1.6826251857718322
compact_catboost,0.05,31,273838,22992,13706,7473,0.32502609603340293,0.5452356632131913,0.08396205055543789,6.49383453127061,0.18571970449578237,0.5732939934078554,0.6459098632987585,6.438271735341836,3.6266866547866976,3.3921320466170966,1.6432723309853299
hierarchical_eb_execution,0.05,31,273838,22992,13706,7423,0.32285142658315935,0.5415876258572888,0.08396205055543789,6.450385885938946,0.18286581290753753,0.6034526672527404,0.626537978730442,6.401309531163535,3.5556662894890945,3.3242894056847545,1.6534272162596546
bayesian_species_child,0.1,31,273838,22992,27395,11816,0.5139178844815588,0.43131958386566893,0.08396205055543789,5.137077775165581,0.31537308310604556,0.8073665820400209,0.7802237885120172,5.113310449941888,3.311210409425514,3.0698795021884724,0.9795467984756677
compact_catboost,0.1,31,273838,22992,27395,11679,0.5079592901878914,0.4263186712903815,0.08396205055543789,5.0775161929721415,0.31629427596047904,0.7748318994059399,0.7835468347904067,5.052417788001607,3.199753843733328,2.9341942203237883,0.9679618126140987
compact_lightgbm,0.1,31,273838,22992,27395,11673,0.5076983298538622,0.42609965322139076,0.08396205055543789,5.074907656525713,0.3145963910915232,0.7659805701197994,0.7806642885675484,5.050012539887589,3.1651273126747106,3.0529188419553868,0.9750527240289089
hierarchical_eb_execution,0.1,31,273838,22992,27395,11585,0.5038709116214335,0.42288738820952726,0.08396205055543789,5.036649121978102,0.3121037516030562,0.7670197881664257,0.7663818424198301,5.011531072622146,3.166660056489513,2.9172335600907027,0.9784964587033329


