rule,test_years,records,brier_score,log_loss,expected_calibration_error,mean_predicted_rate,observed_rate
hierarchical_eb_execution,31,273838,0.05668680947024493,0.2012762596692173,0.006336283676287235,0.08814233422638752,0.08396205055543789
direct_full_cell,31,273838,0.05807094484154467,0.2041774670788732,0.005930663558059432,0.08132862387241714,0.08396205055543789
species_size_component,31,273838,0.060965105881783645,0.2573852418205682,0.011634624983921805,0.08183882195622644,0.08396205055543789
component_only,31,273838,0.07037314581826273,0.25650609035370386,0.013164069555436204,0.0971261201108741,0.08396205055543789
ridge_logistic,31,273838,0.11961092717028551,0.383582892738323,0.1913637945834229,0.2753258451388607,0.08396205055543789
catboost,31,273838,0.12546165549917468,0.40608349381203757,0.21767283299364953,0.3016348835490874,0.08396205055543789
lightgbm,31,273838,0.1276518913745217,0.4063729548322274,0.2166418302122599,0.30060388076769784,0.08396205055543789
xgboost,31,273838,0.13192234034743217,0.42185892965033295,0.23565920275157162,0.3196212533070095,0.08396205055543789
tabm,31,273838,0.13624908957569312,0.431364456984889,0.22711804580158507,0.311080096357023,0.08396205055543789
random_forest,31,273838,0.1561236343185493,0.48958643828280574,0.30096656809624917,0.3849286186516871,0.08396205055543789


